epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,101.193,0.90724,1.31714,0.71685,0.9805,0.8899,0.62054,0.69887,0.52635,0.89074,0.61948,0.69704,0.4816,1.03595,2.03572,0.90871,1.09177,0.00107675,0.00107675,0.00107675
30,104.394,0.89774,1.32328,0.71665,0.9667,0.79926,0.67345,0.75354,0.51404,0.79621,0.66904,0.72915,0.49254,1.1277,2.03697,0.99823,1.10448,0.00107056,0.00107056,0.00107056
31,107.609,0.86112,1.3082,0.71637,0.96492,0.52157,0.70897,0.66278,0.47486,0.52288,0.70897,0.66467,0.44627,1.12906,2.08912,1.49306,1.15752,0.00106437,0.00106437,0.00106437
32,110.741,0.85254,1.31909,0.7007,0.96922,0.87738,0.53897,0.67769,0.4742,0.85458,0.50326,0.64709,0.44261,1.08424,1.95291,1.02785,1.11376,0.00105819,0.00105819,0.00105819
33,113.812,0.91129,1.38568,0.71138,0.9733,0.63687,0.4983,0.63518,0.46443,0.70598,0.54979,0.64469,0.43649,1.09349,2.00881,1.24178,1.12139,0.001052,0.001052,0.001052
34,116.898,0.89846,1.3705,0.72035,0.97519,0.52459,0.45996,0.60353,0.42088,0.52459,0.45996,0.60438,0.42224,1.09188,1.98937,1.58353,1.10824,0.00104581,0.00104581,0.00104581
35,119.952,0.90215,1.34001,0.71186,0.97906,0.82693,0.63084,0.69178,0.47759,0.8233,0.62713,0.69006,0.46043,1.14031,2.23415,1.05436,1.13143,0.00103962,0.00103962,0.00103962
36,123.099,0.85564,1.27743,0.66772,0.96298,0.95443,0.62498,0.70963,0.53102,0.67144,0.71415,0.70718,0.48555,1.11679,2.03105,0.92318,1.1193,0.00103344,0.00103344,0.00103344
37,126.436,0.84294,1.24915,0.64756,0.95408,0.68873,0.64405,0.70379,0.50159,0.68873,0.64405,0.70207,0.49566,1.0503,1.89101,0.86581,1.10997,0.00102725,0.00102725,0.00102725
38,129.47,0.8498,1.24769,0.64476,0.95741,0.67316,0.68781,0.71448,0.50837,0.67479,0.68967,0.71387,0.47156,1.0961,2.0584,0.87053,1.10377,0.00102106,0.00102106,0.00102106
