epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,88.8612,0.86319,0.61568,0.92001,0.62584,0.73545,0.69937,0.52767,1.07312,1.04888,1.03729,0.000996313,0.000996313,0.000996313
43,90.7173,0.83311,0.59567,0.91843,0.74265,0.7081,0.74069,0.54701,0.99611,1.05526,1.00798,0.000990125,0.000990125,0.000990125
44,92.54,0.81048,0.57297,0.90714,0.57078,0.72453,0.66681,0.48922,1.08031,1.39836,1.04261,0.000983938,0.000983938,0.000983938
45,94.2582,0.80126,0.5715,0.90702,0.61992,0.65628,0.69847,0.53589,1.03087,0.91211,1.02385,0.00097775,0.00097775,0.00097775
46,96.0279,0.81434,0.57328,0.918,0.85415,0.72134,0.74943,0.51459,1.08756,1.0429,1.02717,0.000971562,0.000971562,0.000971562
47,97.8622,0.83332,0.59614,0.921,0.77032,0.7172,0.72075,0.51672,1.09644,0.97713,1.02998,0.000965375,0.000965375,0.000965375
48,99.8192,0.80299,0.57825,0.90698,0.68614,0.5803,0.52187,0.34591,1.20309,2.24911,1.09963,0.000959187,0.000959187,0.000959187
49,101.623,0.78313,0.56122,0.91032,0.81875,0.61198,0.65304,0.44207,1.07078,1.44576,1.04134,0.000953,0.000953,0.000953
50,103.422,0.83609,0.59819,0.9075,0.74063,0.56859,0.58279,0.39889,1.10941,1.99339,1.06942,0.000946812,0.000946812,0.000946812
51,105.219,0.76712,0.59274,0.90393,0.77808,0.63357,0.65594,0.449,1.13084,1.63318,1.06959,0.000940625,0.000940625,0.000940625
52,107.043,0.78489,0.58516,0.90433,0.64679,0.78776,0.74813,0.5106,1.08672,0.93586,1.06212,0.000934438,0.000934438,0.000934438
53,108.778,0.79888,0.58639,0.91057,0.64889,0.79072,0.76098,0.50919,1.06927,1.04839,1.0461,0.00092825,0.00092825,0.00092825
54,110.564,0.78456,0.56576,0.90439,0.55352,0.75209,0.72525,0.51314,1.0465,1.01858,1.04816,0.000922063,0.000922063,0.000922063
55,112.469,0.79494,0.55534,0.89732,0.64116,0.8281,0.76896,0.55527,1.01166,0.85701,1.03616,0.000915875,0.000915875,0.000915875
56,114.381,0.76789,0.54055,0.90219,0.743,0.7343,0.7852,0.56992,1.02223,0.9373,1.03984,0.000909688,0.000909688,0.000909688
57,116.307,0.75738,0.54257,0.89551,0.67887,0.77671,0.75663,0.56135,1.03017,0.80888,1.02895,0.0009035,0.0009035,0.0009035
58,118.134,0.77087,0.55873,0.89403,0.59529,0.86506,0.74139,0.55071,1.03081,0.83015,1.02909,0.000897313,0.000897313,0.000897313
59,119.984,0.77192,0.54122,0.90034,0.65209,0.75624,0.69859,0.5386,1.05383,0.99707,1.06192,0.000891125,0.000891125,0.000891125
60,121.811,0.77799,0.53607,0.896,0.60041,0.78376,0.72597,0.55091,1.0098,0.83526,1.06028,0.000884938,0.000884938,0.000884938
61,123.672,0.77804,0.54676,0.89613,0.70827,0.7285,0.73198,0.53681,1.05563,0.82235,1.08248,0.00087875,0.00087875,0.00087875
62,125.437,0.77912,0.54028,0.90093,0.64852,0.75214,0.71921,0.52756,1.04746,0.87126,1.096,0.000872563,0.000872563,0.000872563
63,127.372,0.73757,0.50879,0.8877,0.66317,0.78567,0.76527,0.56175,1.07645,0.98238,1.08847,0.000866375,0.000866375,0.000866375
64,129.291,0.76124,0.52309,0.89149,0.74867,0.75928,0.77683,0.56626,1.03174,0.9236,1.05428,0.000860188,0.000860188,0.000860188
